experience,filename,min_pore_size,clicked_x,clicked_y
4,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",980,168,32
4,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",410,104,168
4,72.53_jpeg_escal.jpg,100,232,144
4,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",410,128,80
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,96,160
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,72,40
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,56,48
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,112,96
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",1360,96,192
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,104,136
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,240,16
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,232,48
5,72.53_jpeg_escal.jpg,480,168,80
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,232,72
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,224,64
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,232,96
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,240,8
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,240,24
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",4350,120,120
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",710,96,136
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",1360,224,24
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",1360,232,8
5,72.53_jpeg_escal.jpg,1650,184,24
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",1360,88,208
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,144,64
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,80
5,72.53_jpeg_escal.jpg,480,168,56
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",480,184,8
5,"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",480,152,8
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",100,144,80
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",100,160,72
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",100,144,56
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",100,8,240
5,"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",100,152,32
