source_image_key,x,y,canceled,sz_kind,cut_kind,porosity,pore_count,experience,image_hash
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",30,2,False,small,cropped,0.187260390161154,138,3,73cbaf94d52487e12592ec2f7ca450f8763398062a83c64601ea38ef6575d33f
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,big,full,0.237861372477872,68667,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,big,cropped,0.286902674913331,839,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,small,full,0.227480368604109,1314,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",23,10,False,small,cropped,0.279136463914277,48,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,big,full,0.215131839559099,41734,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,big,cropped,0.255940750078790,417,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,small,full,0.205916311090394,871,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",29,16,False,small,cropped,0.242514970059880,24,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,big,full,0.257158494809035,77768,1,955c560c37ed11c42db316f3a6d1cad49707f00e2d65c5f89049c291f7819f16
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,big,cropped,0.310716396155058,1175,1,a56f4ebe6efa92a497cd976d65bb1dd24c8c0178c9666ff0c1ca879dbe2f5100
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,small,full,0.240768761877443,1728,1,bd22ebc18d9f1c95431b24deab1b15d8bae3abe2256b669899e30c138d5cf3bb
"2-SMC-1-AL_72,99m_n=_2,5x_cesc.jpg",17,6,False,small,cropped,0.294862905767412,78,1,a2e66b805d70dca3266d38ea6aacb0cba1b3d49f83721dbd668920cb50a52788
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,big,full,0.197534641061179,84538,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,big,cropped,0.164717899871813,2341,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,small,full,0.191477337321055,1522,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",16,10,False,small,cropped,0.152186298248113,153,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,big,full,0.188835393021548,78884,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,big,cropped,0.157253129005840,1724,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,small,full,0.185466239910451,1446,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",18,13,False,small,cropped,0.149361439491051,137,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,big,full,0.158396758314077,53174,4,96d32ea0ad6dd0027430d440345533260d54be4d628596e43a6f80a45fe155df
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,big,cropped,0.115459610751080,1268,4,c95589664c288f33ea7a68f6c340f7e9ebef2ef167140d4d420cdb2c8f2c93ea
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,small,full,0.141622067144144,1171,4,8bba162dfb800925e7add02aea38ad6333015c2a623fcb392afe3fbd00fdfe98
"2-SMC-1-AL_73,97m_n=_2,5x_cesc.jpg",13,21,False,small,cropped,0.079202867587713,106,4,6acb6b92483ec59155b136715bbf7d1db6376a4cda70a56d37520b4a5d4d5094
